GEO_ID,NAME,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M
Geography,Geographic Area Name,Total Population,Total Population – Error,White Population,White Population – Error,Black or African American Population,Black or African American Population – Error,Asian Population,Asian Population – Error,Hispanic Population,Hispanic Population – Error
1400000US48201100001,"Census Tract 1000.01, Harris County, Texas",4999,538,2957,434,1302,357,519,211,790,209
1400000US48201210400,"Census Tract 2104, Harris County, Texas",4411,615,2573,569,614,297,0,14,3480,563
1400000US48201210500,"Census Tract 2105, Harris County, Texas",5013,629,2658,564,666,389,0,20,3980,627
1400000US48201210600,"Census Tract 2106, Harris County, Texas",5645,1468,4353,1493,512,640,49,52,4002,998
1400000US48201210700,"Census Tract 2107, Harris County, Texas",2537,398,1243,366,406,136,11,12,2031,414
1400000US48201210800,"Census Tract 2108, Harris County, Texas",2223,402,735,324,952,408,0,14,1189,287
1400000US48201210900,"Census Tract 2109, Harris County, Texas",1462,403,185,131,926,228,0,14,414,364
1400000US48201211000,"Census Tract 2110, Harris County, Texas",2112,417,374,259,1234,247,36,59,812,361
1400000US48201211101,"Census Tract 2111.01, Harris County, Texas",3217,1356,1808,1124,1282,931,0,14,1899,1116
1400000US48201211102,"Census Tract 2111.02, Harris County, Texas",2215,746,997,709,742,267,20,40,1453,768
1400000US48201211200,"Census Tract 2112, Harris County, Texas",2213,442,237,156,1805,415,14,23,406,233
1400000US48201211301,"Census Tract 2113.01, Harris County, Texas",2419,684,432,314,1720,545,39,56,648,362
1400000US48201211302,"Census Tract 2113.02, Harris County, Texas",2722,535,233,182,1475,503,0,14,1152,454
1400000US48201211400,"Census Tract 2114, Harris County, Texas",3819,577,1101,386,1558,345,166,136,1642,498
1400000US48201211501,"Census Tract 2115.01, Harris County, Texas",2864,637,1781,615,106,164,0,14,2682,647
1400000US48201211502,"Census Tract 2115.02, Harris County, Texas",3375,912,1631,406,152,107,13,21,3220,922
1400000US48201211600,"Census Tract 2116, Harris County, Texas",3235,436,1039,487,560,145,0,14,2555,444
1400000US48201211700,"Census Tract 2117, Harris County, Texas",3846,702,1229,456,1877,524,100,153,1699,536
1400000US48201211900,"Census Tract 2119, Harris County, Texas",5528,1082,2682,768,56,53,16,27,5350,1083
1400000US48201212300,"Census Tract 2123, Harris County, Texas",4348,722,2059,632,245,128,13,19,3757,706
1400000US48201212400,"Census Tract 2124, Harris County, Texas",3106,473,1312,340,167,100,70,81,2861,460
1400000US48201212500,"Census Tract 2125, Harris County, Texas",3874,849,1349,555,2099,574,0,14,1613,649
1400000US48201220100,"Census Tract 2201, Harris County, Texas",1717,224,584,256,687,194,0,14,1008,256
1400000US48201220200,"Census Tract 2202, Harris County, Texas",2236,323,1731,361,71,66,8,14,1910,333
1400000US48201220300,"Census Tract 2203, Harris County, Texas",4303,682,3465,740,129,148,59,72,3759,681
1400000US48201220400,"Census Tract 2204, Harris County, Texas",4700,1067,3970,1034,136,138,34,54,4360,1048
1400000US48201220500,"Census Tract 2205, Harris County, Texas",2909,652,1871,634,672,370,39,38,2131,635
1400000US48201220600,"Census Tract 2206, Harris County, Texas",3766,645,2632,662,640,200,41,70,3030,623
1400000US48201220701,"Census Tract 2207.01, Harris County, Texas",2767,409,1374,358,1081,413,0,14,1593,335
1400000US48201220702,"Census Tract 2207.02, Harris County, Texas",3369,903,1826,316,426,257,0,14,2879,888
1400000US48201220800,"Census Tract 2208, Harris County, Texas",3707,910,1661,601,1607,862,132,186,1837,691
1400000US48201220900,"Census Tract 2209, Harris County, Texas",1717,490,1086,490,521,233,23,34,1030,478
1400000US48201221000,"Census Tract 2210, Harris County, Texas",3914,508,2937,544,379,265,30,46,3273,584
1400000US48201221100,"Census Tract 2211, Harris County, Texas",3959,678,3404,687,0,14,7,14,3811,666
1400000US48201221200,"Census Tract 2212, Harris County, Texas",5806,1257,4876,1175,33,34,19,32,5406,1259
1400000US48201221301,"Census Tract 2213.01, Harris County, Texas",4458,1312,3639,1432,0,14,0,14,4209,1263
1400000US48201221302,"Census Tract 2213.02, Harris County, Texas",3970,704,3475,752,155,199,21,61,3759,690
1400000US48201221400,"Census Tract 2214, Harris County, Texas",6055,980,4785,1055,315,231,0,20,5413,962
1400000US48201221501,"Census Tract 2215.01, Harris County, Texas",5607,1179,4487,1271,209,190,2,7,4844,1209
1400000US48201221502,"Census Tract 2215.02, Harris County, Texas",2931,788,2263,844,581,278,87,132,2195,830
1400000US48201221601,"Census Tract 2216.01, Harris County, Texas",3461,1555,1825,682,92,113,0,14,2924,1596
1400000US48201221602,"Census Tract 2216.02, Harris County, Texas",5577,955,4169,736,55,93,16,24,5171,953
