GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US06037101110,6037101110,"Census Tract 1011.10, Los Angeles County, California",California,CA,Los Angeles,9,3879,2709,3174,73,442,1005,0.698375870069606,0.818252126836814,0.0188192833204434,0.11394689352926,0.259087393658159,480,359,420,53,114,381,8.67554273972603,80.34199,0.152920912,30,0.3,412.030881320016,67.4693487644965,993,0.605857230018303,0.106837520358912,0.244237480940723,0.79592176463175,0,0.000256203553796,63,98,32,52,31,43,43,84,69,62,57,0,34,49,89,25,42,17,58,18,84,60,54,12,0,26
1400000US06037101122,6037101122,"Census Tract 1011.22, Los Angeles County, California",California,CA,Los Angeles,9,4247,2980,3272,144,752,339,0.70167176830704,0.770426183188133,0.0339062867906758,0.177066164351307,0.0798210501530492,875,843,852,118,309,218,8.58335397260274,80.78891,0.142590174,30,0.3,406.773456398096,8.21129371758235,543,0.38078541374474,0.097973489337983,0.222079329245172,0.693244920049893,0,0.00023081470279,60,98,29,52,31,43,12,67,66,59,55,0,33,48,90,22,42,17,58,3,64,56,51,11,0,25
1400000US06037101220,6037101220,"Census Tract 1012.20, Los Angeles County, California",California,CA,Los Angeles,9,3583,1978,2531,23,371,1783,0.55205135361429,0.706391292213229,0.00641920178621267,0.103544515768909,0.4976276862964,486,305,489,27,178,450,8.75163643835617,80.06156,0.22080069,30,0.4,428.325634345455,236.321439857955,724,0.517512508934953,0.107419513613636,0.193899696522727,1.51315170825,0,0.000243345840909,66,98,51,52,69,44,78,78,69,55,69,0,33,50,89,44,42,57,58,51,77,60,45,20,0,25
1400000US06037101221,6037101221,"Census Tract 1012.21, Los Angeles County, California",California,CA,Los Angeles,9,3723,2545,2685,128,273,1203,0.683588503894709,0.721192586623691,0.0343808756379264,0.0733279613215149,0.323126510878324,721,676,642,97,232,395,8.75805150684931,80.0202,0.212166825,30,0.4,414.553537950871,205.114598198519,395,0.253856041131105,0.111106544264808,0.236479741235192,0.886912354961672,0,0.000266726736063,66,98,49,52,69,44,74,55,70,61,59,0,34,50,89,42,42,57,58,47,52,61,53,14,0,26
1400000US06037101222,6037101222,"Census Tract 1012.22, Los Angeles County, California",California,CA,Los Angeles,9,2690,2404,2443,17,131,915,0.89368029739777,0.90817843866171,0.00631970260223048,0.0486988847583643,0.340148698884758,520,508,483,29,197,667,8.75805150684931,80.0202,0.212166825,30,0.4,421.3900675,240.696137,318,0.319919517102615,0.110726072,0.215774716,1.0438531,0,0.000257492,66,98,49,52,69,44,78,62,70,58,62,0,34,50,89,42,42,57,58,52,59,61,50,15,0,26
1400000US06037101300,6037101300,"Census Tract 1013, Los Angeles County, California",California,CA,Los Angeles,9,4068,3283,3641,56,325,600,0.807030481809243,0.895034414945919,0.0137659783677483,0.0798918387413963,0.147492625368732,419,487,469,74,175,147,8.77179643835616,80.09128,0.221821034,30,0.4,473.862639371773,278.096771068606,850,0.56031641397495,0.108234785369173,0.159171947778637,1.74282995921972,0,0.000234936969782,66,98,51,52,69,46,81,81,69,47,71,0,33,51,89,44,42,57,60,57,80,60,36,23,0,25
1400000US06037101400,6037101400,"Census Tract 1014, Los Angeles County, California",California,CA,Los Angeles,9,3372,2418,2992,12,425,732,0.717081850533808,0.887307236061685,0.00355871886120996,0.126037959667853,0.217081850533808,629,539,593,15,196,345,8.88776465753425,79.3651,0.22656088,30,0.4,458.557635819241,201.538238109903,769,0.498379779650032,0.118074751933299,0.21839502396511,1.37333343285736,0,0.000279180257568,70,98,52,52,69,45,74,77,72,59,67,0,34,53,88,46,42,57,59,46,75,64,50,19,0,26
1400000US06037102103,6037102103,"Census Tract 1021.03, Los Angeles County, California",California,CA,Los Angeles,9,1767,1440,1520,28,226,164,0.814940577249576,0.860215053763441,0.0158460667798529,0.12790039615167,0.0928126768534239,488,481,484,44,133,112,9.10729753424657,76.96263,0.255182207,30,0.4,499.8389983,867.7336523,472,0.604353393085787,0.254289684,0.967135054,8.470085266,0,0.010357113,75,98,59,52,69,47,95,84,89,88,95,0,65,60,84,53,42,57,61,83,84,87,83,74,0,49
1400000US06037102104,6037102104,"Census Tract 1021.04, Los Angeles County, California",California,CA,Los Angeles,9,4003,3105,3429,196,602,606,0.77566824881339,0.856607544341744,0.0489632775418436,0.150387209592805,0.151386460154884,464,520,507,146,250,309,9.20978328767123,76.3799,0.255002554,30,0.4,580.293315122325,796.560165063825,339,0.246904588492352,0.360482027440092,0.685511938915003,6.71559069372734,0,0.005342893417563,77,98,59,52,69,49,94,54,93,82,92,0,60,61,83,53,42,57,63,81,51,91,77,66,0,45
1400000US06037102105,6037102105,"Census Tract 1021.05, Los Angeles County, California",California,CA,Los Angeles,9,1674,724,1085,71,168,1068,0.432497013142174,0.648148148148148,0.0424133811230585,0.100358422939068,0.637992831541219,318,226,365,54,94,300,9.27428684931507,75.78837,0.269288881,40,0.5,504.268332086307,3014.43335428841,369,0.646234676007005,0.453966783778976,0.60907281482372,8.3311551528593,0,0.007469942184906,78,98,62,93,92,47,99,86,94,80,94,0,63,62,82,56,91,87,61,97,87,93,74,73,0,47
