GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US48113000100,48113000100,"Census Tract 1, Dallas County, Texas",Texas,TX,Dallas,6,4010,3317,3659,226,273,345,0.827182044887781,0.912468827930175,0.056359102244389,0.0680798004987531,0.0860349127182045,622,596,632,193,180,151,9.39093073972603,65.31223,0.260415371,30,0.3,241.294385124659,113.258092027127,859,0.465078505684894,0.075197124611223,0.278188213460765,0.318774044972502,1.73920776693606,0.00279973829488,81,76,60,52,31,35,57,74,58,65,43,54,54,56,52,63,43,28,45,58,90,68,49,51,53,54
1400000US48113000201,48113000201,"Census Tract 2.01, Dallas County, Texas",Texas,TX,Dallas,6,2736,2634,2662,59,21,218,0.962719298245614,0.972953216374269,0.0215643274853801,0.00767543859649123,0.0796783625730994,307,291,289,95,34,116,9.41735328767123,65.88457,0.304126958,30,0.3,249.049176017239,223.086527905421,950,0.725744843391902,0.080452332141822,0.175440809840214,0.293654574074378,0.517325371312323,0.000771612466436,81,79,69,52,31,35,76,91,60,51,42,34,43,59,56,77,43,28,46,81,97,70,32,50,26,40
1400000US48113000202,48113000202,"Census Tract 2.02, Dallas County, Texas",Texas,TX,Dallas,6,3822,3298,3552,240,107,418,0.862899005756149,0.929356357927787,0.0627943485086342,0.0279958137100994,0.109366823652538,549,519,531,195,62,167,9.42454835616438,65.92172,0.305830477,30,0.3,255.326585220163,224.713362140261,1312,0.667005592272496,0.085774506021086,0.171008693777544,0.403381431310227,2.11709556997602,0.003286800874539,81,80,69,52,31,36,76,88,62,50,46,58,55,60,57,77,43,28,46,81,96,72,31,56,59,56
1400000US48113000300,48113000300,"Census Tract 3, Dallas County, Texas",Texas,TX,Dallas,6,4638,4159,4372,165,84,528,0.896722725312635,0.942647692971108,0.0355756791720569,0.018111254851229,0.113842173350582,1215,1134,1185,196,78,258,9.41837594520548,65.97921,0.30846841,30,0.3,264.164737034168,774.78801188554,994,0.436156208863536,0.092187209500871,0.161196899137195,0.591175432958624,2.75525309542247,0.004528261281141,81,80,70,52,31,36,94,72,64,48,52,65,58,59,57,78,43,28,47,98,88,75,29,64,68,59
1400000US48113000401,48113000401,"Census Tract 4.01, Dallas County, Texas",Texas,TX,Dallas,6,4448,2526,2711,917,378,1777,0.567895683453237,0.609487410071942,0.206160071942446,0.0849820143884892,0.399505395683453,482,425,414,336,123,377,9.43547315068493,66.14919,0.443630034,30,0.3,354.06971515891,221.06529422715,246,0.11861137897782,0.177885367098552,0.621334745785197,4.88177068616593,4.40592573531175,0.00697860639823,82,81,87,52,31,41,76,37,83,80,89,75,62,61,58,96,43,28,52,81,62,90,69,98,85,65
1400000US48113000405,48113000405,"Census Tract 4.05, Dallas County, Texas",Texas,TX,Dallas,6,2276,1340,1404,823,71,695,0.588752196836555,0.616871704745167,0.361599297012302,0.031195079086116,0.305360281195079,455,364,354,321,107,342,9.43322189041096,66.14674,0.433487646,30,0.3,331.40180637584,386.990977480681,130,0.086321381142098,0.156478137082922,0.320994047878978,2.74749166000135,1.60518519953295,0.006311126176602,82,81,86,52,31,40,87,31,80,68,80,52,61,61,58,95,43,28,51,92,56,88,53,94,50,64
1400000US48113000407,48113000407,"Census Tract 4.07, Dallas County, Texas",Texas,TX,Dallas,6,2148,1665,1665,160,214,1247,0.775139664804469,0.775139664804469,0.074487895716946,0.0996275605214153,0.580540037243948,783,811,811,120,254,748,9.43481747945206,66.19,0.369603745,30,0.3,330.079087371916,115.473473516553,399,0.361740707162284,0.16338646174844,0.829945193770043,3.91358407978397,1.22480519467115,0.003931684265002,82,81,80,52,31,40,58,66,81,85,86,47,57,61,58,90,43,28,51,59,84,88,77,97,42,58
1400000US48113000408,48113000408,"Census Tract 4.08, Dallas County, Texas",Texas,TX,Dallas,6,2287,1621,1856,181,274,493,0.708788806296458,0.811543506777438,0.0791429820725842,0.119807608220376,0.215566243987757,496,496,529,144,212,328,9.43481747945206,66.19,0.369603745,30,0.3,320.375808059506,87.066535559223,339,0.21374527112232,0.155871082197441,0.434262026023766,3.10862747834095,0,0.004589371240402,82,81,80,52,31,39,50,50,80,74,82,0,58,61,58,90,43,28,51,48,73,88,60,95,0,59
1400000US48113000409,48113000409,"Census Tract 4.09, Dallas County, Texas",Texas,TX,Dallas,6,3593,1838,2135,650,729,847,0.511550236571111,0.594210965766769,0.180907319788478,0.202894517116616,0.235736153632062,618,482,508,412,322,504,9.44051230136986,66.52781,0.364787507,30,0.4,444.9966933,201.8178034,83,0.032409215150332,0.166793438,1.574821448,4.075484955,6.783891361,0.0000320457,82,83,79,52,69,45,74,19,82,94,86,84,20,62,62,90,43,79,55,79,40,89,90,97,95,14
1400000US48113000410,48113000410,"Census Tract 4.10, Dallas County, Texas",Texas,TX,Dallas,6,4890,3923,4300,68,0,3490,0.802249488752556,0.879345603271984,0.0139059304703476,0,0.713701431492843,761,573,693,116,14,1050,9.44051230136986,66.52781,0.364787507,30,0.4,468.976896156675,81.1061840091924,1076,0.700977198697068,0.151373686902761,2.30010701258138,3.56792695434528,10.795448554233,0.000018098529574,82,83,79,52,69,45,48,89,79,97,84,90,17,62,62,90,43,79,56,46,97,87,95,96,99,10
