GEO_ID,ID,NAME,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,Total_Pop,White_Only_Pop,White_Pop,Black_or_African_American_Pop,Asian_Pop,Hispanic_or_Latino_Pop,White_Only_Pct,White_Pct,Black_or_African_American_Pct,Asian_Pct,Hispanic_or_Latino_Pct,Total_Pop_Error,White_Only_Pop_Error,White_Pop_Error,Black_or_African_American_Pop_Error,Asian_Pop_Error,Hispanic_or_Latino_Pop_Error,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,PN_PM25,PN_OZONE,PN_DSLPM,PN_CANCER,PN_RESP,PN_RSEI_AIR,PN_PTRAF,PN_LDPNT,PN_PNPL,PN_PRMP,PN_PTSDF,PN_UST,PN_PWDIS,PS_PM25,PS_OZONE,PS_DSLPM,PS_CANCER,PS_RESP,PS_RSEI_AIR,PS_PTRAF,PS_LDPNT,PS_PNPL,PS_PRMP,PS_PTSDF,PS_UST,PS_PWDIS
1400000US48201100001,48201100001,"Census Tract 1000.01, Harris County, Texas",Texas,TX,Harris,6,4999,2819,2957,1302,519,790,0.563912782556511,0.591518303660732,0.260452090418084,0.103820764152831,0.158031606321264,538,432,434,357,211,209,10.4133739726027,69.82427,0.579922521,30,0.4,39398.2633426318,1201.50989762265,511,0.14073258055632,0.437887335976158,0.660493107233838,1.73167930370977,11.6559390923338,0.064140242838148,96,93,94,52,69,98,97,40,94,81,71,91,78,93,87,99,43,79,91,99,65,97,71,87,99,86
1400000US48201210400,48201210400,"Census Tract 2104, Harris County, Texas",Texas,TX,Harris,6,4411,1897,2573,614,0,3480,0.430061210609839,0.583314441169803,0.139197460893222,0,0.7889367490365,615,461,569,297,14,563,10.4315479452055,69.34762,0.592212015,30,0.4,49223.9050635733,427.109573875474,1090,0.619318181818181,1.26604242582937,0.870471299916487,2.90285072085337,8.36227146018335,0.001550186298992,96,92,94,52,69,98,88,85,98,86,81,87,49,95,82,99,43,79,93,93,95,99,78,94,97,47
1400000US48201210500,48201210500,"Census Tract 2105, Harris County, Texas",Texas,TX,Harris,6,5013,2185,2658,666,0,3980,0.435866746459206,0.530221424296828,0.132854578096948,0,0.793935767005785,629,579,564,389,20,627,10.4208391780822,69.26327,0.602872679,30,0.4,44498.0868041546,207.484565828082,1066,0.538383838383838,1.90262085535717,1.06416654758696,1.69125878200857,10.4180143374894,0.000001776222787,96,92,94,52,69,98,74,80,99,89,71,90,8,94,81,99,43,79,93,79,93,99,83,87,99,3
1400000US48201210600,48201210600,"Census Tract 2106, Harris County, Texas",Texas,TX,Harris,6,5645,2940,4353,512,49,4002,0.520814880425155,0.771124889282551,0.0906997342781222,0.00868024800708592,0.708945969884854,1468,598,1493,640,52,998,10.4270547945205,69.26547,0.610123478,30,0.4,40079.0083654095,655.175495058432,2039,0.798668233450842,1.26418332783369,0.45332562065847,0.668696392627106,8.67955855126176,0.000001411952482,96,92,95,52,69,98,93,95,98,74,54,87,7,94,81,99,43,79,92,97,99,99,61,66,97,2
1400000US48201210700,48201210700,"Census Tract 2107, Harris County, Texas",Texas,TX,Harris,6,2537,962,1243,406,11,2031,0.379188017343319,0.489948758376035,0.160031533307056,0.0043358297201419,0.800551832873473,398,303,366,136,12,414,10.4195147945205,69.09112,0.591780905,30,0.4,42410.90847,684.5079508,701,0.696127110228401,2.777789443,0.612060428,1.039651067,4.161179112,0.000000535315,96,91,94,52,69,98,93,89,99,80,62,74,5,94,80,99,43,79,92,97,97,99,68,77,83,1
1400000US48201210800,48201210800,"Census Tract 2108, Harris County, Texas",Texas,TX,Harris,6,2223,450,735,952,0,1189,0.202429149797571,0.330634278002699,0.428250112460639,0,0.534862798020693,402,214,324,408,14,287,10.4072016438356,69.097,0.547288529,30,0.4,44473.5813139077,756.109111092261,727,0.679439252336448,1.97571079980328,1.06382581762638,1.98026570308921,3.41774828620435,0.005861190687762,96,91,93,52,69,98,94,88,99,89,74,70,60,93,80,98,43,79,93,97,96,99,83,89,76,63
1400000US48201210900,48201210900,"Census Tract 2109, Harris County, Texas",Texas,TX,Harris,6,1462,82,185,926,0,414,0.0560875512995896,0.126538987688099,0.633378932968536,0,0.283173734610123,403,84,131,228,14,364,10.3918079452055,68.83006,0.56954057,30,0.4,46969.73429,773.641111,285,0.402542372881355,1.430032044,0.648421125,1.673075853,1.246395956,0.000289184,96,91,93,52,69,98,94,69,99,81,71,47,35,92,78,99,43,79,93,98,87,99,70,87,42,30
1400000US48201211000,48201211000,"Census Tract 2110, Harris County, Texas",Texas,TX,Harris,6,2112,364,374,1234,36,812,0.172348484848485,0.177083333333333,0.584280303030303,0.0170454545454545,0.384469696969697,417,261,259,247,59,361,10.3974164383562,68.94936,0.574982967,30,0.4,46575.48852,355.1676722,552,0.598049837486457,1.491067862,0.821751481,2.094026664,3.072796144,0.000110599,96,91,94,52,69,98,86,83,99,85,75,67,27,93,79,99,43,79,93,90,95,99,77,90,72,22
1400000US48201211101,48201211101,"Census Tract 2111.01, Harris County, Texas",Texas,TX,Harris,6,3217,1221,1808,1282,0,1899,0.379546161019583,0.562014299036369,0.398507926639726,0,0.590301523158222,1356,578,1124,931,14,1116,10.3995356164384,69.01846,0.561425991,30,0.4,45813.2344811126,455.579234517394,238,0.207497820401046,1.447392880149,0.772596881206761,2.25249884141812,5.35765060177585,0.005521061854939,96,91,93,52,69,98,89,49,99,84,76,79,60,93,79,99,43,79,93,94,73,99,75,91,90,62
1400000US48201211102,48201211102,"Census Tract 2111.02, Harris County, Texas",Texas,TX,Harris,6,2215,482,997,742,20,1453,0.217607223476298,0.450112866817156,0.334988713318284,0.0090293453724605,0.655981941309255,746,375,709,267,40,768,10.3995356164384,69.01846,0.561425991,30,0.4,47470.6243996811,138.375372378502,577,0.609292502639915,1.2699136028583,0.867360388011708,2.87352746330602,3.47676672258781,0.007675333646346,96,91,93,52,69,98,63,84,98,86,80,70,63,93,79,99,43,79,93,66,95,99,78,94,77,66
