,GEO_ID,NAME,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M
0,Geography,Geographic Area Name,Total Population,Total Population - Error,White Population,White Population - Error,Black or African American Population,Black or African American Population - Error,Asian Population,Asian Population - Error,Hispanic or Latino Population,Hispanic or Latino Population - Error
2,1400000US25025000100,"Census Tract 1, Suffolk County, Massachusetts",5884,405,3636,389,485,257,1338,367,720,322
3,1400000US25025000201,"Census Tract 2.01, Suffolk County, Massachusetts",4125,253,3361,346,357,226,376,134,316,131
4,1400000US25025000202,"Census Tract 2.02, Suffolk County, Massachusetts",4461,377,3340,448,439,282,465,149,1207,370
5,1400000US25025000301,"Census Tract 3.01, Suffolk County, Massachusetts",3074,239,2279,276,310,178,325,157,417,208
6,1400000US25025000302,"Census Tract 3.02, Suffolk County, Massachusetts",3447,386,2400,351,296,279,553,213,374,257
7,1400000US25025000401,"Census Tract 4.01, Suffolk County, Massachusetts",5696,394,4438,459,286,231,997,287,537,183
8,1400000US25025000402,"Census Tract 4.02, Suffolk County, Massachusetts",3700,360,2960,313,117,77,613,130,372,185
9,1400000US25025000502,"Census Tract 5.02, Suffolk County, Massachusetts",5540,469,4586,381,152,95,694,191,583,185
10,1400000US25025000503,"Census Tract 5.03, Suffolk County, Massachusetts",2087,185,1684,183,72,48,319,108,96,55
11,1400000US25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",4959,458,3808,529,222,155,945,430,416,250
12,1400000US25025000601,"Census Tract 6.01, Suffolk County, Massachusetts",3798,300,2810,372,184,98,569,160,367,163
13,1400000US25025000602,"Census Tract 6.02, Suffolk County, Massachusetts",4158,350,2349,349,271,155,874,240,829,374
14,1400000US25025000701,"Census Tract 7.01, Suffolk County, Massachusetts",4368,506,3113,428,409,306,794,185,455,211
15,1400000US25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",2020,172,1227,185,90,54,719,160,265,101
16,1400000US25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",4688,357,2356,340,493,155,1599,309,527,335
17,1400000US25025000802,"Census Tract 8.02, Suffolk County, Massachusetts",6701,567,4009,611,451,190,1441,331,1088,339
