,ID,GEO_ID,NAME,DP05_0063E,DP05_0063M,DP05_0064E,DP05_0064M,DP05_0065E,DP05_0065M,DP05_0067E,DP05_0067M,DP05_0071E,DP05_0071M,OID_,STATE_NAME,ST_ABBREV,CNTY_NAME,REGION,ACSTOTPOP,ACSIPOVBAS,ACSEDUCBAS,ACSTOTHH,ACSTOTHU,ACSUNEMPBAS,DEMOGIDX_2,DEMOGIDX_5,PEOPCOLOR,PEOPCOLORPCT,LOWINCOME,LOWINCPCT,UNEMPLOYED,UNEMPPCT,LINGISO,LINGISOPCT,LESSHS,LESSHSPCT,UNDER5,UNDER5PCT,OVER64,OVER64PCT,LIFEEXPPCT,PM25,OZONE,DSLPM,CANCER,RESP,RSEI_AIR,PTRAF,PRE1960,PRE1960PCT,PNPL,PRMP,PTSDF,UST,PWDIS,D2_PM25,D5_PM25,D2_OZONE,D5_OZONE,D2_DSLPM,D5_DSLPM,D2_CANCER,D5_CANCER,D2_RESP,D5_RESP,D2_RSEI_AIR,D5_RSEI_AIR,D2_PTRAF,D5_PTRAF,D2_LDPNT,D5_LDPNT,D2_PNPL,D5_PNPL,D2_PRMP,D5_PRMP,D2_PTSDF,D5_PTSDF,D2_UST,D5_UST,D2_PWDIS,D5_PWDIS,P_DEMOGIDX_2,P_DEMOGIDX_5,P_PEOPCOLORPCT,P_LOWINCPCT,P_UNEMPPCT,P_LINGISOPCT,P_LESSHSPCT,P_UNDER5PCT,P_OVER64PCT,P_LIFEEXPPCT,P_PM25,P_OZONE,P_DSLPM,P_CANCER,P_RESP,P_RSEI_AIR,P_PTRAF,P_LDPNT,P_PNPL,P_PRMP,P_PTSDF,P_UST,P_PWDIS,P_D2_PM25,P_D5_PM25,P_D2_OZONE,P_D5_OZONE,P_D2_DSLPM,P_D5_DSLPM,P_D2_CANCER,P_D5_CANCER,P_D2_RESP,P_D5_RESP,P_D2_RSEI_AIR,P_D5_RSEI_AIR,P_D2_PTRAF,P_D5_PTRAF,P_D2_LDPNT,P_D5_LDPNT,P_D2_PNPL,P_D5_PNPL,P_D2_PRMP,P_D5_PRMP,P_D2_PTSDF,P_D5_PTSDF,P_D2_UST,P_D5_UST,P_D2_PWDIS,P_D5_PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT,EXCEED_COUNT_80,EXCEED_COUNT_80_SUP,Shape_Length,Shape_Area
0,48201100001,1400000US48201100001,"Census Tract 1000.01, Harris County, Texas",4999,538,2957,434,1302,357,519,211,790,209,73263,Texas,TX,Harris,6,4999.0,4208.0,4269.0,2723.0,3631.0,3261.0,0.35876540802457,0.099774816842309,2652.0,0.530506101220244,787.0,0.187024714828897,171.0,0.052437902483901,46.0,0.016893132574367,326.0,0.076364488170532,17.0,0.003400680136027,290.0,0.058011602320464,0.166153846153847,10.4133739726027,69.82427,0.579922521,30.0,0.4,39398.26334263182,1201.5098976226502,511.0,0.14073258055632,0.437887335976158,0.660493107233838,1.731679303709766,11.655939092333792,0.064140242838148,34.44147917035872,9.578382416861665,33.36518294628501,9.279057966334737,33.72394835,9.378832798,18.65580122,5.188290484,24.75481315,6.884462373,35.15900998640786,9.777932050546282,34.80024457838329,9.678157233703974,14.350616320982802,3.99099267369236,33.723948354309584,9.378832783177046,29.059998049990167,8.08176016422703,25.472343969744472,7.084011995803939,32.64765213023587,9.07950833265012,27.983701825916462,7.782435713700102,59.0,31.0,68.0,30.0,55.0,53.0,44.0,3.0,6.0,23.0,96.0,93.0,94.0,52.0,69.0,98.0,97.0,40.0,94.0,81.0,71.0,91.0,78.0,82.0,72.0,81.0,73.0,79.0,72.0,72.0,63.0,80.0,70.0,84.0,73.0,79.0,71.0,55.0,34.0,81.0,73.0,76.0,64.0,70.0,59.0,78.0,68.0,77.0,63.0,2550360.0,28976.0,0.0,0.0,4.0,0.0,0.08668338810194,0.0002405756465
1,48201210400,1400000US48201210400,"Census Tract 2104, Harris County, Texas",4411,615,2573,569,614,297,0,14,3480,563,73264,Texas,TX,Harris,6,4411.0,4411.0,3008.0,1480.0,1760.0,2175.0,0.742235320788937,0.270381594621456,4089.0,0.927000680117887,2459.0,0.557469961459986,147.0,0.067586206896552,193.0,0.130405405405405,1174.0,0.390292553191489,157.0,0.035592836091589,600.0,0.136023577420086,0.206153846153846,10.4315479452055,69.34762,0.592212015,30.0,0.4,49223.905063573315,427.109573875474,1090.0,0.619318181818181,1.266042425829374,0.870471299916487,2.902850720853372,8.362271460183345,0.001550186298992,71.25459079573795,25.956633083659774,68.2856495125822,24.875106705173952,69.77012017,25.41586993,38.59623669,14.05984294,51.21423715,18.65633006,72.73906143731583,26.497396272902687,65.31670822942645,23.79358032668813,63.09000226705964,22.98243554282376,72.73906143731583,26.497396272902687,63.832237587848574,23.252817137445216,60.121060983903895,21.900909164337936,64.57447290863752,23.52319873206667,36.36953071865791,13.248698136451344,93.0,93.0,91.0,88.0,68.0,89.0,97.0,23.0,37.0,62.0,96.0,92.0,94.0,52.0,69.0,98.0,88.0,85.0,98.0,86.0,81.0,87.0,49.0,98.0,98.0,98.0,98.0,98.0,97.0,93.0,93.0,95.0,95.0,98.0,98.0,97.0,96.0,96.0,96.0,99.0,98.0,96.0,95.0,95.0,95.0,96.0,96.0,84.0,84.0,1811955.0,0.0,0.0,1.0,13.0,13.0,0.061547148688859,0.0001690536895
2,48201210500,1400000US48201210500,"Census Tract 2105, Harris County, Texas",5013,629,2658,564,666,389,0,20,3980,627,73265,Texas,TX,Harris,6,5013.0,4988.0,3371.0,1770.0,1980.0,2367.0,0.741775753529996,0.274540575029972,4621.0,0.921803311390385,2802.0,0.561748195669607,210.0,0.08871989860583,267.0,0.150847457627118,1207.0,0.358053989913972,355.0,0.07081587871534,710.0,0.14163175743068,0.213333333333333,10.4208391780822,69.26327,0.602872679,30.0,0.4,44498.08680415456,207.4845658280819,1066.0,0.538383838383838,1.902620855357169,1.064166547586964,1.691258782008566,10.418014337489383,1.776222787e-06,71.21047233887961,26.355895202877313,68.24336932475964,25.257732902757425,69.72692088,25.80681405,38.57233921,14.2761099,51.18252703,18.94329968,72.69402384593961,26.904976352937258,54.891405761219715,20.316002552217928,59.342060282399686,21.96324600239776,73.4357995994696,27.179516927967224,66.01804206416965,24.434111177667507,52.66607850062971,19.49238082712801,66.75981781769964,24.708651752697477,5.934206028239968,2.196324600239776,93.0,93.0,91.0,89.0,81.0,91.0,96.0,72.0,40.0,68.0,96.0,92.0,94.0,52.0,69.0,98.0,74.0,80.0,99.0,89.0,71.0,90.0,8.0,98.0,98.0,98.0,98.0,98.0,97.0,93.0,93.0,95.0,95.0,98.0,98.0,93.0,93.0,95.0,95.0,99.0,98.0,97.0,96.0,91.0,92.0,97.0,97.0,26.0,20.0,2154322.0,0.0,0.0,0.0,12.0,12.0,0.062667523261754,0.0002010140995
3,48201210600,1400000US48201210600,"Census Tract 2106, Harris County, Texas",5645,1468,4353,1493,512,640,49,52,4002,998,73266,Texas,TX,Harris,6,5645.0,5645.0,4128.0,2264.0,2553.0,2843.0,0.510186005314437,0.155553251469853,4396.0,0.778742249778565,1364.0,0.24162976085031,37.0,0.01301442138586,372.0,0.164310954063604,609.0,0.147529069767441,357.0,0.063241806908769,1068.0,0.18919397697077,0.211282051282051,10.4270547945205,69.26547,0.610123478,30.0,0.4,40079.008365409485,655.1754950584318,2039.0,0.798668233450842,1.264183327833688,0.45332562065847,0.668696392627106,8.679558551261762,1.411952482e-06,48.97785651018596,14.933112141105887,46.93711248892821,14.310899135226474,48.46767048,14.77755885,26.52967226,8.088769052,35.20283435,10.73317432,49.99822852081483,15.244218644045594,47.447298494242645,14.466452386696329,48.46767050487152,14.777558889636037,49.99822852081483,15.244218644045594,37.75376439326834,11.510940608769122,27.5500442869796,8.399875579372061,44.38618246235602,13.533132877877213,3.571302037201059,1.088872760288971,75.0,63.0,83.0,41.0,10.0,92.0,72.0,63.0,66.0,67.0,96.0,92.0,95.0,52.0,69.0,98.0,93.0,95.0,98.0,74.0,54.0,87.0,7.0,90.0,87.0,90.0,87.0,89.0,86.0,82.0,76.0,87.0,83.0,92.0,88.0,89.0,85.0,91.0,85.0,92.0,88.0,83.0,77.0,73.0,66.0,87.0,81.0,16.0,10.0,2333778.0,0.0,0.0,0.0,11.0,9.0,0.060135991845868,0.00021778309
4,48201210700,1400000US48201210700,"Census Tract 2107, Harris County, Texas",2537,398,1243,366,406,136,11,12,2031,414,73267,Texas,TX,Harris,6,2537.0,2530.0,1835.0,885.0,1007.0,1252.0,0.763099643069137,0.274925185925608,2434.0,0.959400867165944,1434.0,0.566798418972331,94.0,0.075079872204473,110.0,0.124293785310734,646.0,0.352043596730245,83.0,0.032715806070162,383.0,0.150965707528577,0.256410256410256,10.4195147945205,69.09112,0.591780905,30.0,0.4,42410.90847,684.5079508,701.0,0.696127110228401,2.777789443,0.612060428,1.039651067,4.161179112,5.35315e-07,73.25756573463715,26.392817848858368,69.44206751929147,25.01819191923033,71.73136644,25.84296748,39.68118144,14.29610967,52.65387537,18.96983783,74.78376502077543,26.942668220709585,70.96826680542975,25.568042291081543,67.91586823315319,24.46834154737911,75.54686466384456,27.217593406635192,61.04797144553096,21.99401487404864,47.3121778702865,17.045361527387694,56.46937358711614,20.344463758494992,3.815498215345685,1.37462592962804,94.0,93.0,94.0,89.0,74.0,89.0,96.0,20.0,46.0,93.0,96.0,91.0,94.0,52.0,69.0,98.0,93.0,89.0,99.0,80.0,62.0,74.0,5.0,98.0,98.0,98.0,98.0,98.0,97.0,94.0,93.0,95.0,95.0,99.0,98.0,98.0,97.0,98.0,97.0,99.0,98.0,95.0,94.0,88.0,89.0,93.0,93.0,17.0,13.0,1133524.0,0.0,1.0,0.0,12.0,12.0,0.043806808317806,0.000105777933
5,48201210800,1400000US48201210800,"Census Tract 2108, Harris County, Texas",2223,402,735,324,952,408,0,14,1189,287,73268,Texas,TX,Harris,6,2223.0,2207.0,1599.0,881.0,1070.0,1188.0,0.73710697630999,0.300253482571964,2141.0,0.963112910481331,1128.0,0.511101042138649,98.0,0.082491582491582,177.0,0.200908059023836,666.0,0.416510318949343,125.0,0.056230319388214,252.0,0.113360323886639,0.29025641025641,10.4072016438356,69.097,0.547288529,30.0,0.4,44473.581313907736,756.1091110922606,727.0,0.679439252336448,1.975710799803279,1.063825817626382,1.980265703089211,3.417748286204346,0.005861190687762,70.76226972575904,28.82433432690854,67.07673484420908,27.323066914048724,68.55094877,27.92357392,38.32956275,15.61318112,50.86038134,20.71749033,72.23648367837903,29.424841292052474,69.28805577313906,28.223827361764616,64.86541391527912,26.42230646633283,72.973590654689,29.72509477462443,65.60252089158911,26.722559948904795,54.54591624693926,22.218757710325335,51.597488341699304,21.01774378003748,44.2264185785994,18.01520895431784,93.0,96.0,94.0,84.0,78.0,94.0,98.0,53.0,26.0,98.0,96.0,91.0,93.0,52.0,69.0,98.0,94.0,88.0,99.0,89.0,74.0,70.0,60.0,98.0,98.0,98.0,98.0,97.0,98.0,93.0,95.0,94.0,97.0,98.0,99.0,98.0,98.0,97.0,98.0,99.0,99.0,96.0,97.0,92.0,95.0,91.0,94.0,89.0,92.0,3666258.0,0.0,1.0,0.0,13.0,13.0,0.095916209814148,0.000342084761
6,48201210900,1400000US48201210900,"Census Tract 2109, Harris County, Texas",1462,403,185,131,926,228,0,14,414,364,73269,Texas,TX,Harris,6,1462.0,1462.0,1000.0,586.0,708.0,616.0,0.799589603283174,0.249745838225247,1384.0,0.946648426812585,954.0,0.652530779753762,10.0,0.016233766233766,59.0,0.100682593856655,188.0,0.188,59.0,0.040355677154583,207.0,0.141586867305061,0.291282051282052,10.3918079452055,68.83006,0.56954057,30.0,0.4,46969.73429,773.641111,285.0,0.402542372881355,1.430032044,0.648421125,1.673075853,1.246395956,0.000289184,76.76060191518471,23.97560046962371,72.76265389876883,22.726871278497477,74.36183308,23.22636293,41.57865936,12.98678358,55.17168261,17.23246282,78.35978112175106,24.475092146074207,75.16142270861835,23.476108793173218,55.171682626539,17.232462837542045,79.15937072503422,24.724837984299455,64.7667578659371,20.22941289624501,56.77086183310535,17.731954513992537,37.58071135430917,11.738054396586609,27.985636114911088,8.741104337883645,96.0,90.0,93.0,94.0,13.0,86.0,81.0,30.0,40.0,98.0,96.0,91.0,93.0,52.0,69.0,98.0,94.0,69.0,99.0,81.0,71.0,47.0,35.0,99.0,97.0,99.0,97.0,99.0,96.0,95.0,91.0,96.0,94.0,99.0,97.0,99.0,96.0,93.0,90.0,99.0,97.0,96.0,93.0,93.0,90.0,82.0,77.0,77.0,68.0,1260606.0,0.0,0.0,0.0,12.0,11.0,0.045165839894355,0.0001176332235
7,48201211000,1400000US48201211000,"Census Tract 2110, Harris County, Texas",2112,417,374,259,1234,247,36,59,812,361,73270,Texas,TX,Harris,6,2112.0,2112.0,1440.0,784.0,923.0,840.0,0.755445075757575,0.250481786071072,2082.0,0.985795454545454,1109.0,0.525094696969697,68.0,0.080952380952381,76.0,0.096938775510204,450.0,0.3125,165.0,0.078125,398.0,0.188446969696969,0.236923076923077,10.3974164383562,68.94936,0.574982967,30.0,0.4,46575.48852,355.1676722,552.0,0.598049837486457,1.491067862,0.821751481,2.094026664,3.072796144,0.000110599,72.5227272727272,24.046251462822916,68.74550189393933,22.79384253246755,71.01183714,23.54528788,39.28314395,13.02505287,52.12571024,17.28324323,74.03361742424235,24.54721503496506,64.96827651515146,21.541433602112193,62.701941287878725,20.789988243898975,74.78906249999993,24.797696821036126,64.21283143939388,21.29095181604112,56.65838068181813,18.786133955330403,50.61482007575753,16.782279666761827,20.397017045454525,6.763008223918945,94.0,90.0,97.0,86.0,77.0,85.0,94.0,79.0,66.0,85.0,96.0,91.0,94.0,52.0,69.0,98.0,86.0,83.0,99.0,85.0,75.0,67.0,27.0,98.0,97.0,98.0,97.0,98.0,96.0,93.0,91.0,95.0,94.0,99.0,97.0,97.0,94.0,96.0,94.0,99.0,97.0,96.0,94.0,93.0,92.0,90.0,88.0,66.0,57.0,1119665.0,0.0,0.0,0.0,12.0,12.0,0.046089994668673,0.000104474509
8,48201211101,1400000US48201211101,"Census Tract 2111.01, Harris County, Texas",3217,1356,1808,1124,1282,931,0,14,1899,1116,73271,Texas,TX,Harris,6,3217.0,3217.0,1887.0,936.0,1147.0,1301.0,0.847995026422132,0.40677823252582,3181.0,0.988809449797948,2275.0,0.707180603046316,417.0,0.320522674865488,225.0,0.240384615384615,938.0,0.497085320614732,151.0,0.046938141125272,389.0,0.120920111905502,0.26871794871795,10.3995356164384,69.01846,0.561425991,30.0,0.4,45813.234481112566,455.57923451739407,238.0,0.207497820401046,1.447392880148999,0.772596881206761,2.252498841418116,5.357650601775845,0.005521061854939,81.40752253652467,39.05071032247872,77.16754740441402,37.01681915984962,78.86353742,37.83037567,44.09574135,21.15246812,58.51165679,28.06769808,83.10351258936893,39.86426678753036,75.47155735156974,36.203262694797985,41.551756294684466,19.93213339376518,83.95150761579107,40.27104502005618,71.23158221945909,34.16937153216888,64.44762200808204,30.91514567196232,66.99160708734843,32.13548036953978,50.87970158532792,24.4066939515492,98.0,99.0,97.0,96.0,99.0,95.0,99.0,39.0,29.0,96.0,96.0,91.0,93.0,52.0,69.0,98.0,89.0,49.0,99.0,84.0,76.0,79.0,60.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,98.0,97.0,99.0,99.0,99.0,99.0,99.0,87.0,93.0,99.0,99.0,98.0,99.0,96.0,99.0,97.0,99.0,93.0,97.0,1279624.0,0.0,0.0,0.0,13.0,13.0,0.050185190256236,0.000119388531
9,48201211102,1400000US48201211102,"Census Tract 2111.02, Harris County, Texas",2215,746,997,709,742,267,20,40,1453,768,73272,Texas,TX,Harris,6,2215.0,2215.0,1429.0,776.0,947.0,950.0,0.854853273137697,0.296539522264429,2215.0,1.0,1572.0,0.709706546275395,13.0,0.013684210526316,88.0,0.11340206185567,539.0,0.377186843946815,106.0,0.047855530474041,184.0,0.083069977426637,0.26871794871795,10.3995356164384,69.01846,0.561425991,30.0,0.4,47470.624399681066,138.37537237850222,577.0,0.609292502639915,1.269913602858296,0.867360388011708,2.873527463306015,3.476766722587808,0.007675333646346,82.06591422121892,28.467794137385184,77.79164785553043,26.985096526063035,79.50135439,27.57817555,44.4523702,15.42005514,58.98487584,20.46122702,83.7756207674943,29.06087318191404,53.855756207674915,18.681989902659023,71.80767494356655,24.90931987021203,83.7756207674943,29.06087318191404,73.51738148984194,25.502398914740887,68.38826185101576,23.723161781154317,59.83972911963879,20.757766558510028,53.855756207674915,18.681989902659023,98.0,95.0,100.0,96.0,10.0,87.0,96.0,41.0,13.0,96.0,96.0,91.0,93.0,52.0,69.0,98.0,63.0,84.0,98.0,86.0,80.0,70.0,63.0,99.0,98.0,99.0,98.0,99.0,98.0,96.0,95.0,97.0,96.0,99.0,99.0,92.0,91.0,98.0,97.0,99.0,98.0,98.0,97.0,98.0,96.0,95.0,93.0,94.0,93.0,1117791.0,0.0,0.0,1.0,13.0,13.0,0.063019568052818,0.000104289963
